ID,1_percentage,1_counts,2_percentage,2_counts,3_percentage,3_counts,4_percentage,4_counts,5_percentage,5_counts,6_percentage,6_counts,7_percentage,7_counts,8_percentage,8_counts,9_percentage,9_counts,10_percentage,10_counts,11_percentage,11_counts,12_percentage,12_counts,13_percentage,13_counts,14_percentage,14_counts,15_percentage,15_counts,16_percentage,16_counts,17_percentage,17_counts,18_percentage,18_counts
4_152_180886_9,48.74,135.0,14.08,39.0,4.69,13.0,4.33,12.0,5.05,14.0,0.0,0.0,16.97,47.0,1.08,3.0,0.0,0.0,0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,7.0,0.0,0.0,0.0,0.0,0.36,1.0,0.0,0.0
2_46_165826_1,39.6,255.0,6.99,45.0,0.62,4.0,1.24,8.0,1.24,8.0,1.24,8.0,39.75,256.0,0.31,2.0,0.0,0.0,0.31,2.0,0.16,1.0,0.93,6.0,0.31,2.0,2.17,14.0,0.62,4.0,0.0,0.0,0.16,1.0,0.16,1.0
3_99_173002_21,37.2,77.0,19.32,40.0,0.48,1.0,5.31,11.0,6.76,14.0,0.0,0.0,18.36,38.0,0.0,0.0,0.0,0.0,0.48,1.0,0.48,1.0,0.0,0.0,0.0,0.0,3.38,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_97_172606_35,38.56,118.0,45.75,140.0,0.33,1.0,0.98,3.0,1.96,6.0,0.0,0.0,3.59,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,11.0,0.33,1.0,0.33,1.0,0.0,0.0,0.0,0.0
3_92_171850_64,50.35,359.0,8.27,59.0,1.26,9.0,2.38,17.0,6.03,43.0,0.0,0.0,19.78,141.0,0.0,0.0,0.0,0.0,1.12,8.0,0.56,4.0,1.68,12.0,0.0,0.0,3.37,24.0,0.0,0.0,1.26,9.0,0.14,1.0,0.0,0.0
4_138_179251_27,56.51,204.0,7.48,27.0,2.22,8.0,1.66,6.0,4.99,18.0,0.55,2.0,13.85,50.0,0.0,0.0,0.0,0.0,0.28,1.0,0.0,0.0,1.39,5.0,0.28,1.0,4.99,18.0,0.0,0.0,0.83,3.0,0.28,1.0,0.0,0.0
3_133_178369_46,56.44,92.0,11.04,18.0,0.61,1.0,3.07,5.0,4.91,8.0,0.0,0.0,12.88,21.0,0.61,1.0,1.23,2.0,0.61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,6.0,0.0,0.0,0.61,1.0,0.0,0.0,0.0,0.0
1_9_161116_127,37.17,410.0,4.17,46.0,1.18,13.0,2.09,23.0,8.34,92.0,0.0,0.0,34.18,377.0,0.0,0.0,0.18,2.0,0.27,3.0,0.91,10.0,1.9,21.0,0.0,0.0,6.8,75.0,0.18,2.0,0.09,1.0,0.27,3.0,0.0,0.0
4_108_174229_36,65.03,106.0,6.13,10.0,2.45,4.0,4.91,8.0,1.23,2.0,0.0,0.0,13.5,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,3.0,0.0,0.0,1.23,2.0,0.61,1.0,0.61,1.0,0.0,0.0,0.0,0.0
3_127_177262_13,59.77,52.0,16.09,14.0,2.3,2.0,5.75,5.0,0.0,0.0,0.0,0.0,6.9,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,1.0,0.0,0.0,4.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
